ライブ回数,1,2
日付,2026/05/02,2026/06/11
ライブ名称,ぶいかふぇ♪vol.241,Vack-ON!! × SHUFFLE-CROSS REALITY- vol.3
1,マーシャル・マキシマイザー/柊マグネタイト feat. 可不,
2,アイドル/YOASOBI,
3,ファンサ/mona(CV.夏川椎菜) feat.HoneyWorks,
4,花の塔/さユり,
